Key,Site,eyefullmeanht_eyefullmeanL,eyeballmeanht_eyeballmeanL,eyeballmeanht_eyefullmeanht,meanpupildiam_eyeballmeanht,lipsth_lipsl,meanhairlinetobrow_hairtochin,hairtochin_headtochin,eyefullmeanht_hairtochin,noselength_hairtochin,pupildist_hairtochin,pupildist_widthateyes,meanpupildiam,hairoption,braids,frontlength,hairlineshape,border,headdecoration,headband,earrings,necklace,ears,ebsigdepth,pupilmake,nostrilmake,liplineform,lipform,labraleSuperius,dimple_cleft,nick_markblw,doublechin,eyeform
A22164Chic,Khorsabad,0.47999999999999998,0.55000000000000004,0.85999999999999999,0.67000000000000004,0.35999999999999999,0.19,0.59999999999999998,0.16,0.46999999999999997,,,0.12,pegwig,no,,curved,yes,headcharm,no,yes,,yes,no,drilled,no,tucks,V,,no,no,no,doubletop
A22170Chic,Khorsabad,0.53000000000000003,0.53000000000000003,0.68000000000000005,0.58999999999999997,0.34999999999999998,0.11,0.75,0.17000000000000001,0.35999999999999999,,,0.12,pegwig,no,,curved,no,no,no,,,,no,drilled,no,,doubleswell,no,no,no,no,doubletop
A22172Chic,Khorsabad,0.56999999999999995,0.42999999999999999,0.62,0.75,0.37,0.12,0.78000000000000003,0.14499999999999999,0.45000000000000001,,,0.12,pegwig,no,belowshoulder,curved,no,no,no,no,smock,yes,no,drilled,,barbell,doubleswell,no,no,yes,no,doubletop
A22166Chic,Khorsabad,,,,,,,,,,,,,pegwig,no,,,,,,yes,,yes,,,,,,,,,,
65.926Bost,Nimrud,0.62,,,,0.48999999999999999,0.19,,0.245,0.35999999999999999,,,,,no,,straight,,,,no,no,yes,yes,,,plain,doubleswell,no,no,no,no,inlayhole
1962.7Ash,Nimrud,0.0,,,,,0.17999999999999999,0.81999999999999995,0.13,0.46999999999999997,,,,,,,u-tabs,,,,no,,yes,no,,,,,no,no,no,no,inlayhole
BM118250_C19,Nimrud,0.45000000000000001,0.44,0.82999999999999996,0.79000000000000004,,0.65000000000000002,0.82999999999999996,0.14000000000000001,0.45000000000000001,0.51000000000000001,0.57999999999999996,0.19,pegwig,no,,,,,,,,,no,drilled,,barbell,doubleswell,,,,no,doubletop
BM118155_C13,Nimrud,0.40000000000000002,0.44,0.75,0.81999999999999995,0.53000000000000003,0.66000000000000003,,0.16,0.47999999999999998,0.47999999999999998,0.46999999999999997,0.185,pegwig,no,belowshoulder,curved,no,no,no,no,,yes,no,drilled,drilled,barbell,doubleswell,no,no,no,no,doubletop
BM118247_S26,Nimrud,0.28999999999999998,,,,0.28999999999999998,0.67000000000000004,0.85999999999999999,0.11,0.32000000000000001,,,,curls,no,abshoulder,parted,no,no,no,no,no,yes,,no,,plain,,no,no,no,no,single
BM126521_S20,Nimrud,0.5,,,,0.40000000000000002,,,,,,,,curls,no,belowshoulder,curved,no,,no,no,no,yes,,no,no,plain,doubleswell,no,no,no,no,single
