Key,Site,eyefullmeanht_eyefullmeanL,eyeballmeanht_eyeballmeanL,eyeballmeanht_eyefullmeanht,meanpupildiam_eyeballmeanht,lipsth_lipsl,meanhairlinetobrow_hairtochin,hairtochin_headtochin,eyefullmeanht_hairtochin,noselength_hairtochin,pupildist_hairtochin,pupildist_widthateyes,meanpupildiam,hairoption,braids,frontlength,hairlineshape,border,headdecoration,headband,earrings,necklace,ears,ebsigdepth,pupilmake,nostrilmake,liplineform,lipform,labraleSuperius,dimple_cleft,nick_markblw,doublechin,eyeform
BM118181_S182,Nimrud,0.51000000000000001,0.35999999999999999,0.54000000000000004,0.81000000000000005,0.40000000000000002,0.14999999999999999,0.56999999999999995,0.20499999999999999,0.41999999999999998,0.46000000000000002,0.56999999999999995,0.13,curls,,belowshoulder,parted,no,crown,yes,no,nonsmock,yes,no,drilled,no,plain,protrusion,no,no,no,no,double
BM118229_U7,SharifKhan,0.42999999999999999,0.39000000000000001,0.65000000000000002,0.23999999999999999,0.20000000000000001,0.14000000000000001,0.63,0.19500000000000001,0.46000000000000002,0.46999999999999997,,0.5,curls,,,parted,no,no,yes,no,nonsmock,yes,no,,,plain,protrusion,no,no,no,no,double
BM118231_S213_fig1,Nimrud,0.53000000000000003,0.35999999999999999,0.65000000000000002,0.78000000000000003,0.26000000000000001,0.45000000000000001,0.68000000000000005,0.245,0.42999999999999999,0.46000000000000002,0.51000000000000001,0.28000000000000003,,,,parted,no,crown,no,,nonsmock,yes,no,drilled,no,plain,protrusion,no,no,no,no,double
BM118270_S226,Nimrud,0.54000000000000004,,0.77000000000000002,0.81000000000000005,1.0,,,,,,0.52000000000000002,0.19,pegwig,no,belowshoulder,,,,,no,nonsmock,no,no,drilled,excised,tucks,doubleswell,no,no,no,no,doubletop
BM126942_S228,Nimrud,,,,,,,,,,,,,curls,,belowshoulder,,,,,,,,,,,,,,,,,
BM126691_S229,Nimrud,,,,,,,,,,,,,,yes,,,,,,,nonsmock,,,,,,,,,,,
BM126817_S334m,Nimrud,0.62,0.48999999999999999,0.58999999999999997,0.55000000000000004,0.47999999999999998,0.12,0.81999999999999995,0.22,0.34000000000000002,0.52000000000000002,,0.45000000000000001,straight,no,,parted,no,no,no,no,no,yes,no,excised,no,,doubleswell,no,no,no,no,doubletop
BM127054_S189,Nimrud,0.48999999999999999,0.38,0.57999999999999996,0.90000000000000002,,,,,,,,0.19,curls,no,,parted,yes,no,no,,,,no,,,,,,,,,double
BM118254_S334n,Nimrud,0.53000000000000003,0.46999999999999997,0.55000000000000004,0.81999999999999995,0.48999999999999999,0.20000000000000001,0.58999999999999997,0.255,0.5,0.51000000000000001,,0.115,curls,no,,straight,no,no,no,no,nonsmock,yes,no,excised,excised,plain,doubleswell,no,,no,no,double
BM118208_S334o,Nimrud,0.46999999999999997,,,,0.54000000000000004,,0.75,0.17000000000000001,0.41999999999999998,0.46000000000000002,0.53000000000000003,0.13,,,,,no,headcharm,no,yes,,yes,no,drilled,,tucks,doubleswell,no,no,no,no,doubletop
BM123809_S350,Nimrud,0.45000000000000001,0.39000000000000001,0.68000000000000005,0.37,,0.16,0.66000000000000003,0.20000000000000001,0.44,,,0.10000000000000001,curls,no,,straight,no,no,no,no,,yes,no,drilled,excised,plain,protrusion,yes,yes,yes,no,double
BM118104_S146,Nimrud,0.38,0.34999999999999998,0.75,0.72999999999999998,,0.98999999999999999,0.66000000000000003,0.13,0.38,0.45000000000000001,0.46000000000000002,0.11,curls,no,belowshoulder,curved,no,headcharm,no,yes,nonsmock,yes,no,drilled,,,,,,,,doubletop
BM126675_S208a-b,Nimrud,0.38,,,,0.44,,0.64000000000000001,0.13,0.44,0.40000000000000002,,,,no,belowshoulder,,no,crown,no,no,,yes,no,pin,excised,barbell,,no,yes,no,no,single
BM118253_S294fig1_WoNoNose,Nimrud,0.46999999999999997,0.39000000000000001,0.62,0.92000000000000004,,0.41999999999999998,0.72999999999999998,0.14999999999999999,,,,0.12,curls,no,belowshoulder,parted,no,no,no,no,no,yes,no,,,,,,,,,doubletop
BM118253_S294fig2_WoWNose,Nimrud,,,,,0.52000000000000002,,0.73999999999999999,,0.45000000000000001,0.45000000000000001,,0.10000000000000001,curls,no,belowshoulder,parted,no,no,no,no,no,yes,no,excised,no,plain,doubleswell,no,,,,doubletop
BM118197_S207_fig1,Nimrud,0.62,0.47999999999999998,0.69999999999999996,0.70999999999999996,0.44,0.97999999999999998,0.65000000000000002,0.20000000000000001,0.37,,,0.20000000000000001,curls,no,belowshoulder,parted,no,crown,no,no,nonsmock,yes,no,excised,no,plain,doubleswell,no,no,no,no,double
BM118197_S207_fig2,Nimrud,0.55000000000000004,0.5,0.65000000000000002,0.62,,0.17000000000000001,,0.20999999999999999,0.41999999999999998,,,0.16,curls,no,belowshoulder,parted,no,crown,no,no,nonsmock,yes,no,excised,no,plain,doubleswell,yes,,,,double
BM126787_S308_fig1,Nimrud,0.51000000000000001,0.47999999999999998,0.68000000000000005,0.81999999999999995,0.56999999999999995,0.70999999999999996,0.72999999999999998,0.20000000000000001,0.44,0.55000000000000004,0.64000000000000001,0.16,curls,no,belowshoulder,parted,no,no,no,no,nonsmock,yes,no,excised,no,,,,no,yes,no,doubletop
BM126787_S308_fig2,Nimrud,0.58999999999999997,0.56999999999999995,0.78000000000000003,0.81000000000000005,0.53000000000000003,0.17000000000000001,0.76000000000000001,0.20999999999999999,0.44,0.46000000000000002,0.56999999999999995,0.19,curls,no,belowshoulder,parted,no,no,no,no,,yes,no,excised,no,plain,doubleswell,,no,no,no,doubletop
BM118194_S205Fig1,Nimrud,0.42999999999999999,0.35999999999999999,0.68999999999999995,0.65000000000000002,0.16,0.12,0.71999999999999997,0.16500000000000001,0.40000000000000002,0.40000000000000002,0.54000000000000004,0.10000000000000001,curls,no,belowshoulder,parted,no,crown,no,no,nonsmock,yes,no,drilled,excised,plain,,no,no,no,no,double
BM126675_S206_fig1Dark,Nimrud,0.51000000000000001,0.46000000000000002,0.73999999999999999,0.5,0.32000000000000001,0.47999999999999998,0.67000000000000004,0.17999999999999999,0.37,0.39000000000000001,0.48999999999999999,0.10000000000000001,curls,no,belowshoulder,straight,no,crown,no,no,nonsmock,yes,no,drilled,excised,plain,doubleswell,no,no,no,no,double
BM126675_S206_fig2Light,Nimrud,0.58999999999999997,0.42999999999999999,0.56000000000000005,0.67000000000000004,,0.88,0.67000000000000004,0.185,,0.39000000000000001,0.47999999999999998,0.10000000000000001,curls,no,belowshoulder,straight,no,crown,no,no,nonsmock,yes,,drilled,,,doubleswell,no,yes,no,no,double
BM118102_S210_fig1WhtnBl,Nimrud,0.46000000000000002,0.38,0.72999999999999998,0.60999999999999999,,,0.56000000000000005,0.23499999999999999,0.45000000000000001,0.65000000000000002,0.68000000000000005,0.17999999999999999,curls,no,belowshoulder,,no,crown,no,no,nonsmock,yes,no,excised,excised,plain,doubleswell,no,no,no,,doubletop
BM118102_S210_fig2Grey,Nimrud,0.53000000000000003,0.45000000000000001,0.73999999999999999,0.62,0.28000000000000003,,0.54000000000000004,0.23999999999999999,0.47999999999999998,0.56999999999999995,0.56999999999999995,0.19,curls,no,belowshoulder,,,crown,no,no,nonsmock,yes,no,excised,excised,plain,protrusion,no,no,no,no,doubletop
BM126683_S221_fig1,Nimrud,,,,,,,,,,,,,curls,,,,,,,,nonsmock,,,,,,,,,,,
BM126683_S221_fig2,Nimrud,,,,,,,,,,,,,curls,,,,,,,,nonsmock,,,,,,,,,,,
BM126676_S209a-b,Nimrud,0.51000000000000001,0.45000000000000001,0.72999999999999998,0.60999999999999999,0.14999999999999999,0.12,0.75,0.16,,0.39000000000000001,,0.10000000000000001,curls,yes,,parted,no,crown,no,,,,no,drilled,excised,plain,protrusion,no,no,no,no,double
BM118224_S150b,Nimrud,0.44,0.37,0.65000000000000002,,0.27000000000000002,0.69999999999999996,0.83999999999999997,0.17000000000000001,0.48999999999999999,0.46000000000000002,,,curls,no,belowshoulder,parted,no,no,no,no,no,yes,no,excised,excised,tucks,doubleswell,no,no,no,no,doubletop
BM126677_S215,Nimrud,,,,,,,,,,,,,,,,,,,,,nonsmock,,,,,,,,,,,
BM126680_S218,Nimrud,,,,,,,,,,,,,curls,,belowshoulder,,,,,,nonsmock,,,,,,,,,,,
BM126593_S96,Nimrud,0.40000000000000002,,,,,,,,,,,0.14999999999999999,pegwig,no,,straight,yes,no,no,no,nonsmock,yes,no,drilled,,,,,,,,doubletop
Aleppo1,ArslanTash,0.5,0.40999999999999998,0.75,0.62,0.44,0.25,0.80000000000000004,0.23499999999999999,0.31,0.53000000000000003,0.53000000000000003,0.14499999999999999,curls,no,,curved,no,headcharm,no,yes,no,yes,no,drilled,,,doubleswell,yes,,,,doubletop
Aleppo2,ArslanTash,0.54000000000000004,0.42999999999999999,0.63,0.56999999999999995,,0.12,0.78000000000000003,0.23999999999999999,,0.51000000000000001,0.46999999999999997,0.13,curls,no,,curved,no,headcharm,no,yes,,yes,no,drilled,,,doubleswell,no,no,no,no,doubletop
Aleppo3,ArslanTash,0.41999999999999998,0.34000000000000002,0.73999999999999999,0.55000000000000004,,,,,,,,0.11,,no,,curved,no,headcharm,no,yes,no,yes,no,drilled,,,doubleswell,,,,,doubletop
Aleppo4,ArslanTash,,,,,,,,,,,,,pegwig,no,,,,,,,,,,,,,,,,,,
Aleppo5,ArslanTash,,,,,,0.17499999999999999,0.72999999999999998,,0.39000000000000001,,,,pegwig,no,,curved,no,headcharm,no,no,no,yes,no,,no,,doubleswell,,no,no,no,doubletop
Aleppo6,ArslanTash,0.53000000000000003,0.54000000000000004,0.69999999999999996,,0.38,0.14999999999999999,,0.17999999999999999,0.40000000000000002,0.42999999999999999,0.42999999999999999,,pegwig,no,,curved,no,headcharm,no,no,,yes,no,excised,excised,tucks,doubleswell,no,no,,no,doubletop
Aleppo8,ArslanTash,0.39000000000000001,0.28999999999999998,0.52000000000000002,,0.34000000000000002,0.17000000000000001,,0.14000000000000001,0.37,0.40999999999999998,0.41999999999999998,,pegwig,no,belowshoulder,curved,no,headcharm,no,yes,no,yes,no,excised,no,tucks,doubleswell,yes,yes,no,no,double
Aleppo9,ArslanTash,0.46999999999999997,0.46000000000000002,0.68000000000000005,,0.31,0.17000000000000001,,0.19,0.41999999999999998,,,,pegwig,no,belowshoulder,curved,no,no,no,no,nonsmock,yes,,no,,,doubleswell,no,no,no,no,double
